artistId,artistName,trackId,trackName,artistPopularity,trackPopularity,trackExplicitness,contentAdvisoryRating,trackNumber,trackTimeMillis,trackPrice,isStreamable,previewUrl,collectionId,collectionName,collectionCensoredName,trackCount,discNumber,discCount,collectionPrice,primaryGenreName,releaseDate,currency,kind
472054,John Mayer,184335816,Bold as Love,77.0,,notExplicit,,9,258147,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/30/2c/00/302c00d9-8699-1ca3-94f6-4c5d3f0dd79b/mzaf_6067899047789633105.plus.aac.p.m4a,184335550,Continuum,Continuum,12,1,1,10.99,Pop,2006-09-12T07:00:00Z,USD,song
2417388,The Darkness,6433514,I Believe in a Thing Called Love,62.0,70.0,notExplicit,,4,216453,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/bb/ee/49/bbee4954-8674-191e-38bb-bebb9b0442bb/mzaf_13407545745832766433.plus.aac.p.m4a,6433580,Permission to Land (Bonus Track),Permission to Land,11,1,1,9.99,Hard Rock,2003-07-07T07:00:00Z,USD,song
396754057,One Direction,482734116,More Than This,85.0,,notExplicit,,4,228693,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/62/75/1b/62751b3b-d3ae-3274-2150-324f6ba92381/mzaf_3504872389551670914.plus.aac.p.m4a,482734112,Up All Night (Deluxe Version),Up All Night (Deluxe Version),15,1,1,12.99,Pop,2011-11-18T08:00:00Z,USD,song
480438107,Bethel Music & Kristene DiMarco,862593692,It is Well (Live),,,notExplicit,,2,385053,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/a6/06/11/a606118e-b212-0d2d-a431-32b83fc6201e/mzaf_7532295160722723422.plus.aac.p.m4a,862593658,You Make Me Brave (Live),You Make Me Brave (Live),12,1,1,11.99,Christian,2014-04-21T07:00:00Z,USD,song
4488522,P!nk,545398145,Walk of Shame,80.0,,explicit,Explicit,10,163688,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/b3/13/a6/b313a6ee-b635-5f8c-766c-23bbc139fab0/mzaf_3216592594270061720.plus.aac.p.m4a,545398133,The Truth About Love,The Truth About Love,15,1,1,10.99,Pop,2012-09-14T07:00:00Z,USD,song
479756766,The Weeknd,1499378607,Blinding Lights,96.0,89.0,notExplicit,,9,200046,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/31/4a/7f/314a7f84-7371-6ca8-239e-f24d7a7abaf8/mzaf_5431523798668650986.plus.aac.p.m4a,1499378108,After Hours,After Hours,14,1,1,11.99,R&B/Soul,2019-11-29T08:00:00Z,USD,song
17034009,Zombie Nation,129611482,Kernkraft 400,49.0,,notExplicit,,4,331280,0.99,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/d4/ca/80/d4ca803d-7ad6-b78a-5791-cb1690ade359/mzaf_12677262974135149213.plus.aac.p.m4a,129611454,Kernkraft 400 - Single,Kernkraft 400 - Single,4,1,1,3.96,Dance,1999-03-15T12:00:00Z,USD,song
463177,Savage Garden,157485088,Truly Madly Deeply,66.0,73.0,notExplicit,,3,277194,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/0b/44/17/0b44175e-9ed1-25f3-bd57-f435f8d4dd5f/mzaf_12625965000508513358.plus.aac.p.m4a,157485058,Savage Garden,Savage Garden,11,1,1,9.99,Pop,1997-03-24T08:00:00Z,USD,song
4488522,P!nk,545398148,The Great Escape,80.0,,notExplicit,,13,264295,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/9f/59/2f/9f592f49-8261-70a4-951d-a4f20f3196a0/mzaf_14741665099321422981.plus.aac.p.m4a,545398133,The Truth About Love,The Truth About Love,15,1,1,10.99,Pop,2012-09-14T07:00:00Z,USD,song
47812402,Laura Story,429376013,Blessings,49.0,56.0,notExplicit,,5,298227,1.29,True,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/90/41/33/90413313-64fb-c8b9-119c-012d73328aac/mzaf_1920289021305918991.plus.aac.p.m4a,429376000,Blessings,Blessings,10,1,1,9.99,Christian,2011-03-15T07:00:00Z,USD,song
